,sentiment,text
8281,negative,what be the hold up with flight 1553 boarding shouldve take place 30 minute ago
8282,neutral,yes on 419
8283,negative,now we be wait over an half hr for the package what be wrong with you guy
8284,neutral,how long ago can a have take place for me to still get credit if i do not apply my trueblue when i book
8285,positive,thanks for your help jetbluesofly
8286,neutral,i be able to access it by use the drop down instead of click on the tab
8287,negative,do your trueblue page not work on chrome or safari i keep get blank page when i lick on the trueblue tab on your site
8288,positive,ahoy from a loyal allyoucanjetpass when do you anticipate direct u flight to havana cuba jetblue vacation
8289,negative,that be my point they be only offering me a flight the next day and expect me to now pay for a hotel because they cancel flightled
8290,neutral,excite for my first flight w you today it be delayed though can you give me the 411 flight number 989 from boston to dc
8291,neutral,what be the mosiac 800
8292,negative,i can probably find some of them be the ticket s on there
8293,negative,no they offer the flight 419 i paid then they change itthis be the 2nd time you have do this to me ruin cruise plan
8294,positive,okie doke know you you will fix this emoticonwink
8295,neutral,should i check in my awesome bag on my flight or carry it on decision
8296,neutral,i cannot i do not have acces to a phone rn my iphone broke emoticonskeptical would rather change it now then late flightr
8297,negative,i cannot do that flight i need a late flightr one i need you to change my flight you guy change it and now i cannot do that time
8298,positive,wish you would make austin tx a miss you a my only airline for all my biz travel since i move from bos emoticonsad
8299,neutral,just sent it
8300,neutral,a little vino would not hurt
8301,neutral,airway receives new coverage from analyst at bank of america jblu the legacy
8302,positive,crisis avert flight 69 from bos to fll be boarding let u hope the new pilot be not clarence oveur and roger murdock emoticonsmiley
8303,negative,my bag be miss from 1099 land over 6 hour ago help
8304,positive,thanks to julian at for get me onto an earlier flight back to dca
8305,negative,apparently the substitute pilot for flight 69 from bos to fll cannot be found no info be avail from the counter how about you
8306,negative,land at before 9am and still do not have my bag you be suppose to give it to disney magical express this ami be livid
8307,neutral,s ceo battle to appease passenger and wall street waterbury republican american
8308,positive,not your fault social medium awesome people i know everyone be work hard to get u in our way
8309,neutral,a request here selfie somewhere over the rockys milehighselfieclub
8310,neutral,stop at jfk before iad
8311,negative,flight 69 ha one employee say they be reassign another say they just left i just want some warm weather
8312,positive,seem a few of my friend speak a well now we just need to find a decent price way to go from yvr to sea and overnight
8313,neutral,do not take fraud a seriously
8314,negative,i want to add my flight to mexico be on air canada same situation but with none of the problem I have have with jet blue
8315,negative,you mean take more of my time to write you a physical letter because the fraud department do not have email or telephone right
8316,negative,capital one and i explain the false fraud alert why do the jet blue representative issue me a new tkt if it be not resolve
8317,positive,thanks
8318,positive,then en route to the airport the rebooked ticket be refund
8319,neutral,repping the bruin in cleveland at rock n roll hof the christmas story house jetbluebruins
8320,negative,no it do not all work out i call jet blue from mexico to address the fraud alert with capital one on the line rebooked
8321,negative,actually they say the fraud issue be never resolve but why then do they issue me a new ticket of the phone
8322,negative,i call jet blue to get an explanation and make sure it would not happen in the i be told to write the fraud dept
8323,positive,we make it safe and sound thank you for the safe travel
8324,negative,when i arrive at the airport i be told my ticket have be refund because my name have a fraud alert
8325,neutral,my card company and i explain the issue over the phone when i be in mexico i purchase a new ticket over the phone
8326,negative,but jet blue have cancel flight my ticket never reissue it
8327,neutral,my credit card company accidentally marked my jet blue ticket a fraud then correct their mistake and reposted the money
8328,negative,have screw me over for the last time glad to give you my business jetscrew awfulcustomerservice
8329,negative,alternative you have no respect for loyal customer 8 year no more I be do
8330,neutral,any thought on waiver of change fee for travel out of boston this weekend
8331,negative,pool and gift be completely different i should not have to be charge 375 to send point it disgust
8332,negative,why would you charge money to transfer point to someone
8333,positive,flight attendant wendi on flt 127 on 217 newark to orlando
8334,negative,do not help if i have to fly on specific day
8335,negative,it be note about me i m perfectly fine it be the attitude and dealing with flyer stubborn demand unwilling to accommodate
8336,positive,there be just so many choice for yall south of the border and i know not every airline be low price best value emoticonwink
8337,neutral,just look to arrange for a nice flight from sea to laish and compare the cost to something more direct from yvr
8338,neutral,sent my suggestion and via the link
8339,negative,i be share it to the public i fly 20 time a year and sit now on the tarmac in fll your staff be the bad i ever met
8340,positive,i love you
8341,neutral,ever consider come to memphis need some trueblue service and fare badly
8342,negative,what be up w flt 4 brother fianc sit on board for 30mins w tech issue
8343,positive,be fly soon to on your airline of all airline I have you be still 1 to me
8344,negative,be give u free movie because apparently the dunkin donut coffee be a safety hazard thingsyoucantmakeup switch2sbux
8345,negative,a long a someone remembers to put it on plane right that be a really lame excusegeez can do much well coffeeneeded
8346,negative,what else could possibly take the place of coffee at that hourhope pilot be not rely on aircraft for caffeine needcoffee
8347,negative,what be up with lack coffee on 7emoticonsmiley0am flight be told someone forgot to load coffee onto the plane what ineedcoffee
8348,positive,utah i think and thanks
8349,positive,thank you
8350,neutral,yes he and all the princess try to get to the glassslipperchallenge at wdw
8351,positive,never be delayed before 533 to tpa out of well safe than sorry lovejetblue onlyblue jetblueforever
8352,negative,dont get me wrong i love fly with you tv free bag and descent fare the recent plane problem be just annoy
8353,positive,great flight and crew flight 51 from bos to
8354,negative,i appreciate that when i flew with you in january the check engine light come on right before take off now it be a computer
8355,positive,that be why i love jetblue truebluemember4life
8356,positive,awesome thanks I will give a call late flightr today appreciate the help
8357,neutral,travel w a rifle for a hunt can a pistol be in the same rifle case too be not clear in freq ask question
8358,positive,thanks her 80th bday be saturday we be have an aviation theme surprise party for her
8359,negative,guy your flight book problem system ran my first and middle name together at time of flight book problem be that go to be a tsanightmare
8360,negative,he cancel flightled a flight be give 2 week to apply travel bank credit to another flight credit be transferable
8361,neutral,thanks i just sent a few dm
8362,negative,how be travel bank credit issue by your company fraud i acquire credit from family friend charles kravitz see his account
8363,negative,talk to a manager and she offer we pay 3xs in cash what we originally paid nothanks jetblue ripoff flyunited
8364,negative,omg bore through this convo seem like jetblue be on point
8365,negative,cancel flightling ticket for 3 best friend go on vacation and never told u jetblue fixthis ripoff
8366,negative,apparently the pilot have make some announcement about engine trouble and lose fuel too quickly
8367,neutral,for my grandma ellas 80th she would love a birthday greet from your flight crew she be a stewardess for eastern airline
8368,negative,try to charge u 550 dollar cash for ticket we paid for month in advance isthisreal nevertoldus jetblue neveragain
8369,negative,please get service start at and offer good route lile florida upstate ny vega
8370,negative,cancel flightling flight send out ticket then not tell the buyer jetblue how be that allow
8371,negative,i be here what be your
8372,positive,best airline name ever whenever i see it i want to get on their plane to blue sky sea and they deliver on that promise
8373,positive,be gettin fancy mint lieflat nice work on the menu lobstermac bloodymary jetsetter
8374,negative,not make a great first impression on my first flight 20 minute before boarding and the gate agent still cannot assign me a seat
8375,negative,my flight 1318 be delayed and i be connect from boston be it possible to switch me to flight 118 so i can make my connection
8376,negative,love cancel flightling ticket and not tell their customer flyunited
8377,negative,ticket be confirm and sent out find out today that they cancel flightled our ticket month ago and never sent an email jetblue
8378,negative,would have be good to know month ago that you cancel flightled our flight leave tomorrow telleveryone jetblue neveragain
8379,negative,rather than try to resolve customer issue only option offer be pay cash airport or write letter justifythissupport
8380,negative,I be on flight and no booze be serve 30 min in what give lostrevenue angryandsober bachelorpartymishap
8381,negative,I have use you guy for 10 year but after this experience i will never ever use you again
8382,negative,manager tell u to write a letter because we be upset about our ticket to leave tomorrow get cancel flightled without any notice
8383,positive,you guy be lucky i love you
8384,negative,maybe stop tell people the wrong info on your customer service call
8385,negative,customer service be so bad update my point once i use my next point i will not be fly you point system be almost a sham
8386,negative,ruin vacation left and right who would have thought an airline can cancel flight ticket without tell the buyer
8387,negative,well find a way to get me to puerto tomorrow morning besides charge u three time in cash what we originally paid
8388,negative,i spent over an hour of my morning on hold w your customer support i want my confirm flight to be take care of
8389,negative,do it look like to we talk to customer service
8390,negative,claim w customer protection they will notify customer of delay cancel and diversion nottrue
8391,negative,if there be a processing error the why do you send out full flight ticket and confirmation flysouthwest
8392,positive,thank you will do you guy be awesome
8393,positive,no but we be on the flight leave from boston to seattle right now emoticonsmiley flight 597
8394,positive,definitely
8395,negative,tell me 130 paid confirm flight will now cost me 56680 cash only airport hour before my flight ripoff nosupport
8396,positive,okay awesome thank you
8397,negative,bad book in oct w email confirm never inform cancel flightlation instruct to mail write letter
8398,negative,no he do not have more info i be more infuriate by the way previous rep treat me how she can possibly work a a jetblue rep
8399,positive,i be so excite when i saw that you fly there ionlyflyblue
8400,positive,ta off site at thelodge should be a fun day
8401,positive,just sadly but yea the fly fi be awesome
8402,negative,she hung up before i can get name she take no accountability for keep me on hold 20min next rep be not able to track name
8403,positive,thank you
8404,negative,the free wifi make up for the television not work it be staticy ithelpsabit
8405,negative,i have be on phone with rep for over 30 min and be transfer after ask not to be she be the bad rep i ever have
8406,positive,ready to go to disneyworld for the princesshalf
8407,negative,how be it possible the only way to contact your fraud department be mail a physical letter no telephone no email really
8408,neutral,brazil to volunteer english spanish to poor child so they have a skill to improve their chance of a well life
8409,negative,be flight 51 on 42415 move back when i book it say we arrive 11emoticonsmiley1 but now it say 1208
8410,positive,thank you for the jetblue credit nice save emoticonsmiley
8411,neutral,i would go back to aruba i flew out of jfk bestplanesever bestflightever
8412,positive,bluemanity love this have a great time fly this
8413,negative,case make jackass out me we not allow do favor sayget right care lessme no out of vacation now true seeampeter scott
8414,neutral,i would go to dallas to see my grand baby that i miss so much i feel like a piece of my heart be there
8415,negative,false agent let u do an extra leg room upgrade for but not upgrade to mint poor business badcustomerservice
8416,negative,try them not helpful really dissatisfied with flight book problem my whole with jet blue this time around besides the flight
8417,positive,yes with about 20 minute to spare your employee be amaze keep up the good work
8418,negative,rqstd upgrade to mint at lax and be told no because i use point why turn down 1600 bcz i use point trueblue
8419,neutral,when be you go to get wifi on your plane
8420,positive,oh yeah great flight down to mexico with a wonderful crew thank you
8421,neutral,how can we get help with a hotel we book with you and be have issue with
8422,negative,trading customer experience for term so sad for this previous loyal customer
8423,neutral,hi just dmd info
8424,negative,flight 577 fll to sfo no speed line even though i paid for it no coffee on flight and my non stop now have an unscheduled stop
8425,positive,thanks
8426,neutral,any concern about cancel flightled flight due to the cold weather in nj saturday be do you cancel flight at 0
8427,negative,why be not a 15 service credit voucher i receive for tv not work on my next flight for a pillow
8428,neutral,gain altitude but skywest hit jblu skyw investor business daily
8429,positive,good morning sunshine tailfinthursday
8430,positive,where be my selfie
8431,negative,s ceo battle to appease passenger and wall street
8432,positive,airway reveals bluemanity livery travelpulse
8433,neutral,unveils new bluemanity livery usa today
8434,neutral,mark 15th year with bluemanity plane design
8435,positive,haha thanks jetblue
8436,neutral,could i get a free flight to vega since it be my bday
8437,neutral,im fly with you from miboston and then icelandair to iceland 8 hour between can we check our bag all the way
8438,positive,i know you have a lot of baggage but i want you to know i really enjoy be inside you jetbae
8439,negative,every crew member i dealt with in orlando be incredibly rude I be actually pretty disgust with jetblue right now
8440,positive,thank you so much i be not sure since in know the be 4 ozs excite to fly with jetblue
8441,negative,be it your standard protocol to call onto a plane for a cry baby
8442,negative,finally start to come out 40 minute and no communication be not acceptable let me down today
8443,negative,found someone to ask no answer land almost 40 minute ago
8444,positive,that be a sexy tattoo you get there on your left engine jetbae
8445,negative,flight 1951 bag have not come and we land 30 minute ago
8446,positive,thanks to o stbernard for take time to through page to find info a supervisor felt to insist tho i show previous comm
8447,negative,gnight checked in at po supervisor be unaware of policy that suck have to guide him to the he be v unfriendly
8448,positive,jua at jfk just ask desk be incredibly helpful thanks
8449,negative,2 hour delay while sit on the plane and you still wanna charge me for beer I be good
8450,neutral,can you tell me which day you fly direct buf fll and fll buf
8451,negative,your customer service agent jorge at orlando international be rude and disrespectful i never want to deal with your bullshit ever
8452,neutral,i cri
8453,positive,closepwcs please just tweet this i fly jetblue every time btw
8454,neutral,can you do me a huge favor
8455,neutral,be you my friend
8456,negative,if it be simply a mechanical why would they say that
8457,negative,can you tweet closepwcs to get the word out
8458,negative,my mother have overheard a ask the attendant if the passenger really knew what be go on and the attendant say no
8459,positive,btw her name be samantha and she won over everyone on the flight
8460,negative,what happen w19 from bossan my mother be onboard the crew be evasive a to why they have to return to bos the first time
8461,neutral,jetblue relate this time emoticonwink no but why will not school be cancel flight it be very cold out
8462,positive,i will thank you
8463,negative,it say it be now 958 you owe me
8464,negative,i want you to pay for my parking fee at orlando airport because your app told me my flight land at 919 and it lie
8465,positive,u cool
8466,positive,amazingly awesome customer service from your reservation agent tonight help correct a mistake i so love this airline emoticonsmiley
8467,positive,the 13th annual marthas vineyard african american film festival august 1015 2015 our attendee deserve a great flight to mv
8468,neutral,be yr site have trouble for mobile check in
8469,negative,they told u 10 minute almost 40 minute ago
8470,negative,1472 fll to lga this be get old 4th flight in 25 week 4th significant delay
8471,negative,i just submit feedback for you not a good way 2 handle baggage or customer
8472,positive,love it they be cute
8473,neutral,there be a family of bird inside be they fed be they there for a
8474,neutral,sure thing
8475,neutral,work with google chrome but not explorer
8476,negative,i be believe you for a minute but we just get delayed for a 3rd time
8477,neutral,if there be a schedule change on my tix can you change the the destination airport to a sister airport like ewr and jfk
8478,negative,delay perfect time to learn swift program with
8479,neutral,on lufthansa incentive offer digital journal
8480,positive,the best airline in the world
8481,positive,i would go anywhere jetblue go
8482,neutral,anywhere
8483,positive,wow you guy answer people wow you care i love jet blue
8484,positive,thanks i appreciate your prompt response
8485,negative,i put it my to and from airport click update and it tell me to put in my to and from airport
8486,negative,why do not your best fare finder work
8487,neutral,to dc this summer and help local youth get ready to return to school with math refresher course flyitforward
8488,positive,good luck thanks
8489,positive,it really be nice though the snack fridgethat you can just get up and take stuff out like a dorm common room be genius
8490,neutral,currently on my new robotic lovedoll heavily of s bit about themhence an excuse to say huxleyesque
8491,negative,third jetblue flight in less than a week all late flight not for weather reliability go downhill
8492,neutral,i have many allergy and want to know if i can bring an 8oz bottle of benadryl on the flight with my 2 epipens
8493,negative,this be how you have me feel
8494,negative,why be the buffalo flight so late flight
8495,neutral,anywhere away from this snow globe to warmth sand and palm tree
8496,negative,u suck big donkey ball
8497,neutral,any good deal for march look to fly to orlando
8498,positive,if i tell you i like that pick will that get me that bump to first class emoticonsmiley
8499,neutral,jetblue sofly wish firststari seetonight
8500,negative,wait for flt 105 to chicago why have not aircraft left buffalo yet
8501,negative,i do not think I will be test those water out on my own dime again
8502,negative,cmon now my flight delayed annnnnd you cannot give me a pick I be about to tweet at or
8503,negative,flight be 100 full
8504,neutral,client be ask if kid need their own email address to get tb acct be this true
8505,negative,walk down the hall to carousel 8found all bag sit there still no word from crewsignage still not update
8506,negative,headphone jack not work on my flight
8507,neutral,it be absolute madness in the west but tell me who you like between and
8508,negative,triedconsiderable confusionno announcementno update
8509,negative,jetbluebos what be up with luggage for flt 790 dcabos pax wait for 30 min for bagsno show carousel 6 not update
8510,neutral,thx for the pointer but im good with the big monitor any advice on who i should pick to come our of the western conf nba
8511,negative,i have 2 fight 2 get a credit for the value of my bag but i get it skytrax jetblue corpgreed nevertakeno
8512,neutral,airway corporation jblu loses 006 on news that airway wallstreet scope
8513,negative,they do not have any ask if i want tea how do you have teanot coffee I be a gold on united coffee i nvr think about
8514,negative,ur bwiboston flight 8pm really need to be well schedule they be almost always delayed
8515,positive,I will pas the advice you guy rock
8516,negative,I have fly to an airline who actually give a crap about it flier outside of generic apology jet blue be terrible jetblue
8517,neutral,6am austin to jfk
8518,negative,the big board say we be not leave until after 8emoticonsmiley0
8519,neutral,he be sch for 530 tmw on aa would love to find him an earlier one with yall if possible he be in fll
8520,negative,while i appreciate that you actually respond i travel way too much for you to tell me coffee be not a basic option
8521,negative,my dad vacation to sxm get delayed a day because of shoddy service early fll sxm flight try to hep him out
8522,negative,i do not report the update info do not know how to reach them without a super long wait on hold at your main number
8523,positive,i cannot say what airline i be on right now but i sincerely miss you bestairline
8524,negative,whoa no tag and you still saw my tweet flight 105 jfk to chicago try to get home to see my little brother wrestle
8525,neutral,airway corporation price target update stafford daily
8526,neutral,i would go to italy to visit my relative and see the house my dad left when he pass
8527,neutral,I have go to australia to enjoy the land down under always be on my bucket list flyingitforward
8528,neutral,hi be it possible to upgrade to a mint seat on an already book ticket thanks
8529,neutral,left my coat on flight 453 this morning in overhead bin report seat 12a but i be 11a thx ticket 2792125083854
8530,neutral,my daughter college game in denver only one set of parent will be there
8531,positive,ok I will book jb to jfk then book to ath thank you
8532,neutral,need flight to ath from pdx do you coordinate with other airline
8533,negative,so why do you put this at the of ur baggage report for fun jetblue skytrax
8534,negative,if u want to be helpful save me the from westchester cty to jfk parking my info be in the photo
8535,positive,yes that be true but they be a bit pricey i will look into it far love you guy
8536,negative,i be head to jfk now just on principle alone to deal w my lose damage bag jetblue jetbluesucks jfk badservice fail
8537,negative,u now have my gear grind the jfk baggage told me i need to bring the bag back right now if not they will close my claim
8538,neutral,do you sell open ticket i have a sick relative and may have to travel at a moment notice sad but true
8539,positive,i flew to san francisco from fort lauderdale with you last year have a fantastic time so would like to go back
8540,negative,u say our safety be our priority but that do not extend 2 our property this be totally
8541,neutral,to allow payment by apple pay patriarc
8542,positive,my flyingitforward just one small family of four but it would make a huge difference in their life
8543,negative,glad u happy i have my bag but a a traveler i entrust u w my property u return it damage that be the best answer u have
8544,neutral,I have go to portsmouth nh to take care of my friend son while she take her daughter to boston for surgery flyingitforward
8545,negative,be the bad i have to postpone my and they cannot accommodate like neveragain
8546,positive,hawaii get me somewhere warm i can find some good to do flyitforward
8547,positive,thx for confirm again yr team be awesome thanks for the prompt helpful response cheer to less snow in everyones
8548,negative,prfriendly tweet do not help drive accountability hope hayes take note
8549,positive,what a great idea cometoaustin
8550,positive,i would go to la vega it be gorgeous and i go there every year and i fly with you guy vega be gorgeous so much to do there
8551,neutral,i like marie harf go to iraiq find isi and spread good and offer resume service to isi in order to find job
8552,neutral,flyingitforward I have fly to port au prince haiti to help with the ongoing earthquake relief effort still lot to do there
8553,positive,just dmed thanks so much for address this so quickly
8554,positive,do also look like you open some up on my flight to vega on sunday
8555,neutral,say lufthansa incentive offer to have no on share count nasdaq
8556,negative,only wish your ground be a expedient a your twitter response team delay just get extend
8557,negative,only w 70 upgrade unsure why she cannot just switch someone around i call 24 hr in advance for this reason
8558,neutral,can you dm
8559,negative,keep ask me to enter a valid email address my info be save and have work hundred of time before
8560,neutral,be the trueblue site broken at the moment
8561,neutral,any em window seat on 1099 tomorrow
8562,neutral,airway corporation register interest wall street pulse
8563,neutral,any chance you will by this summer
8564,neutral,do you have mint service from to san diego
8565,negative,cannot change it true blue point and i cannot get to a phone
8566,neutral,my want me to change her seat with my sister but their two different reservation and
8567,positive,aw okay thanks
8568,neutral,i cannot pay 30 buck xd
8569,positive,best seat on a e190 to board early ready set go
8570,neutral,be it true there be a new a320 livery and a new website
8571,negative,shouldve be on one of your flight instead have now lose our bag to add insult to injury
8572,positive,I be all set about to fly not bad for a first date with a giant metal bird machine she even brought snack
8573,negative,I be try to add my 2012 flight to my badge account but i do not see an option help plz
8574,positive,okay the new screen be laptoplarge real nice the wifi be appreciate thanks god for this tiny lil man in the middle seat
8575,negative,i on you and I be sorry I will never do it again have give my wife and i the bad start to a honeymoon ever
8576,neutral,this feel nice what we have get go on here let u just swap me out with the fool in 5a and we can make it all well
8577,neutral,yes but it hurt my feeling to walk by mint a fella can dream happy4them
8578,neutral,dont talk about my friend like that thefutureisweird
8579,positive,incidentally sheila at jfk deserves a raise because she be awesome
8580,neutral,I would like to spread my grandpa ash in naples italy he live in the 50 while serve his 30 yr in the flyitforward
8581,positive,i that tweet because one of your wonderful employee swoop in to helpfaith restore you be one of the good one
8582,neutral,on lufthansa incentive offer stockhouse
8583,negative,lot of people scratch head and look at screen ignore passenger
8584,neutral,i thought the same thing after i sent it
8585,negative,what be go on with 1171 lgafllpoor to no communication from gate agent
8586,negative,your android app be set to not be applicable with the nexus 6 please fix it a phone not a tablet cheer
8587,neutral,order 33
8588,negative,our foodallergy community if you want our continued loyalty you need to do well than that some training be in 23
8589,negative,insensitive foodallergies be lifethreatening unsolicited uneducated be reckless dangerous to 13
8590,neutral,thanks for the message tell me i will have to wait between 13 day I be wait
8591,neutral,airway see significant decline in interest jblu wkrb news
8592,neutral,plan to offer direct flight from jfk to daytonabeach florida start next february
8593,neutral,thank you for opening the conversation i hope you can make it right
8594,neutral,when i checked yesterday it look like it do do something change
8595,negative,oh no i thought it do emoticonsad
8596,neutral,s ceo battle to appease passenger and wall street waterbury republican american
8597,neutral,1951 bos to ord
8598,positive,thanks line move quick already do
8599,neutral,i do follow you
8600,negative,nope none to be found
8601,negative,i may need to i have a 40 minute layover and now have a 15 min delay on my first flight
8602,negative,i may not make my connection and need to find out my option yet no one be here
8603,neutral,nope currently sit at my gate
8604,positive,their name be angel seriously how cool be that truly fantastic service
8605,negative,extraspeed line close in tampa what give
8606,neutral,i sent you an email
8607,positive,thank you emoticonsmiley
8608,positive,thanks
8609,positive,also exit seat 62 and that be a huge win
8610,positive,friendly engage personable handle clarify question about baggage fee well and take an interest in what i be do
8611,neutral,so i do not know confirmation number or the name of the flight attendant and supervisor
8612,negative,would love to respond to link but supervisor tore ticket up and refuse to give me name and hid her badge from me
8613,positive,so dre at seatac check in need a raise stat dude give me amaze customer service and make me feel value
8614,negative,you respond to my friend but you cannot respond directly to me
8615,neutral,s ceo pilot among ardent fan wall street poughkeepsie journal
8616,positive,the magic eight ball have never steer me wrong emoticonsmiley
8617,negative,you wanna help out how about you reimburse the money you cause my band to lose
8618,negative,but you guy should know that musician be very sensitive about the safety of their instrument when fly for good reason
8619,negative,ask but i marketing at a university and will gladly consult on customer service and how not to treat passenger
8620,negative,love to respond to positive tweet but they ignore problem w customer just ask nola musician about that shameful
8621,neutral,I be game if you be buying emoticonwink
8622,positive,will do thanks
8623,positive,mark 15th year with new bluemanity plane design sun sentinel
8624,negative,call be not make by the inflight crew they in fact ask u why we do not bring it on
8625,negative,last week i bought a plane ticket round to fl just 4 fun i look at the price of them today and they go down nothappy
8626,positive,you be welcome
8627,neutral,be you ever look for intern
8628,positive,be the great airline ever truebluepoints jetbluemember
8629,positive,s free wifi on board be the best thing that be happen since slice bread
8630,negative,only middle seat sfo bos not fun she keep get 10 credit would much rather have a work tv
8631,negative,disappointed we be not allow to bring on an aircraft carseat on an empty plane not cool
8632,positive,beatriz and susan gate 4
8633,positive,handle s question like social medium pro good for when our system be all run by friendly ai
8634,negative,maybe have a supervisor find out why the international checkin at ftl have not move in 20 minute yet employee up 100 pizza
8635,negative,third flight in a row for my wife with her tv not work
8636,positive,it a wonderful thing
8637,negative,what be a personal email that i can contact i have a complaint that you should know about
8638,negative,what be up with website cannot access flight info
8639,neutral,just a thought
8640,positive,flight book problem flight for a dc visit for easter weekend start difficult but end well with you guy big fan here emoticonsmiley
8641,neutral,im get an it depends vibe fair enough
8642,positive,flyfi thank you seattle and udub here we come
8643,positive,i know that emoticonsmiley wish i be there now
8644,positive,have a great flight to orlando from a few week ago be great to get out on time and arrive early
8645,neutral,to increase charter service to cuba travel agent
8646,positive,you guy continue to impress your crew gate 4helped our family with seat issue professional
8647,positive,love the free wifi and legroom seattlebound
8648,negative,you be miss the point the flight left an hour late flight why be you allow to be that late flight and still charge me 50 and 10hrs
8649,neutral,can i get some more leg room tonight 304
8650,negative,2nd time fly jetblue this year and my armrest tv controller do not work agianand that be the main reason i fly jetblue
8651,negative,it be on me that be not what you say last night though emoticonsad
8652,negative,the two of you should team up to serve cinnabons on the flight bonsinthesky
8653,positive,anything for you flyfi
8654,negative,you guy remember lol but now my bos flight delayed and turn the heat down in it feel hotter than
8655,positive,thanks
8656,neutral,celebrates 15year anniversary with new livery
8657,negative,spoken to 2 rep once I be allow to check my bag and through the tsa checkpoint i guarantee i will be talk to someone
8658,negative,and the 20min line i stood in to drop my bag off
8659,positive,credit to you for reply ill look forward to hopefully one of those 103 on my flight home tonight emoticonsmiley
8660,positive,great flight a always thank you to the great crew on flight 475 travel jetblue
8661,negative,get txt 40min after sched dpt say plane have just arrive jfk late flightr txt w dpt gate change then 904 dpt for 740 flight
8662,negative,i be not allow to drop my bag off for my flight that i be run 10min late flight for turn out it left over an hour late flight
8663,positive,you be kill me now emoticonsmiley you get me smitten trueblue
8664,negative,my son left his ipad on flight 1401 from jfk to fll on monday i call and left message and have no heard back seat 25a
8665,positive,4 min response time I be impressed I be in it be official emoticonsmiley trueblue jetblue get social
8666,positive,thanks for listen do not mean i do not appreciate you
8667,negative,all take care of other then the drop call and the total half hour wait love jetblue
8668,positive,thank you for incredible customer svc from gate to flight mint experience be magic
8669,positive,thanks next up we will see how the slog from jfk to the city go
8670,neutral,social medium take flight with fly likeagirl what brand lesson can we learn smm brand
8671,neutral,lekvhg want to see what the cost would be to change to the 430 flight
8672,negative,you stood me up last night but I be give you a second chance I be just a tweet an airline ask them to fly him home
8673,negative,wait for 15 min then get disconnect
8674,positive,and a huge thanks to the crew on flight 1348 who flew in to dca from sju monday night in the snow so we could have a plane
8675,negative,be i cannot make change on the website be i still charge 25 dollar for use phone
8676,positive,planning on it btw excellent service and crew from dca through sju into sxm
8677,positive,why yes yes it do great down thanks for the lift
8678,positive,hotspot free wifi make me happy jfk itsthelittlethings
8679,negative,your agent at iad have compound this problem by not make any announcement jetbluemess
8680,negative,just a head up this page no longer exists
8681,neutral,deal
8682,neutral,i think will need a selfie a proof
8683,negative,wonder if that be the pilot tweet you back be it legal to tweet and fly what if the plane in front stop suddenly
8684,positive,gorgeous day hope the flight back tomorrow be be just a pleasant thanks
8685,negative,they say they have no update i do not work i do not get paid jet blue have my money but no flight argh
8686,negative,no news here at the gate what be my option
8687,positive,it be okayI be actually a tea kinda guy thanks
8688,negative,well I be glad i get up at 5 be so i can sit in an airport no place else I have rather be not
8689,negative,no i be guess i have to call someone
8690,negative,why 730 and not 645 a schedule
8691,negative,1408 iad to jfk still have not board what be today excuse and how be i gonna get to work
8692,negative,why be t that every time i fly jfk even more speed do not work wait for 10 min nogood
8693,neutral,can i change my flight if i already print my boarding pas
8694,positive,it always a pleasure
8695,positive,this be lovely
8696,neutral,dump amex nassau news live
8697,neutral,drop a new video off the upcoming project thetakeover produce by yponthebeat rt
8698,neutral,to end partnership with american express
8699,neutral,mark 15th birthday with blumanity paint job blog
8700,neutral,s ceo battle to appease passenger and wall street
8701,neutral,change in the air for traveler investor
8702,positive,finally take off lasfllsju
8703,neutral,anywhere warm cause it freeze in
8704,negative,client get zero in 32 year career never thought this be possible2 suitcase worth thousand of in italian clothing robbed
8705,neutral,flight 1970 1366 and 1552 will fly over after 1 be on your way into mind take ocean so we can sleep
8706,negative,not to mention the fact that we paid extra just to fly jetblue think it be the most reliable
8707,negative,we even go to the airport and be on the phone for hr and no help at all everyone say different thing
8708,negative,people kept say it be due to weather but there be flight go directly to boston even after our flight
8709,negative,i understand but everyone say different thing and there be a flight out late flightr that night but only one of u get to take it
8710,negative,disappointed that my flight back to boston from be cancel flightledrebooked 4 the next daydelayed that one too and no compensation
8711,positive,great today thanks to the crew fly u home they be fantastic
8712,neutral,celebrates 15year anniversary with new livery digital journal
8713,positive,awe you guy be great cannot wait to travel with you again soon
8714,positive,yes announce we will take off you be on it thank you
8715,positive,also thanks for your prompt reply I be really impressedand you be not just brushing me off much appreciate
8716,neutral,what about if i book it through orbitz my email be correct but there be a middle party
8717,positive,it be be a while since I have angry tweet an airline apparently you my mind before i could bitch thank you for the credit
8718,neutral,it be at jfk airport right now
8719,neutral,that be pretty nice be flight credit automatically give after the flight i also wish there be a lounge i could sleep in
8720,positive,s valentinesday email be on point so clever thanks for be amaze jetblue loveisintheair
8721,negative,she claimed that she do but i be not happy with the way i be treat
8722,negative,ripped my suitcase i then be yell at with attitude from geraldine your employee at the baggage centerworst airline jetblue
8723,negative,shout out to the crew on flight 89 head back to the big apple they kept my glass half full the whole flight jetbluejfk
8724,negative,that make sense it suck though because now I will be stuck in the airport for 5 hour and late flight to my meeting
8725,positive,thank you for help and quick response
8726,neutral,s new ceo seek the right balance to please passenger and wall daily journal
8727,neutral,flight 705 ewr to fll
